見出し,表記
いつに,一に
いつのまにか,〈何時〉の間にか
いっぱ,一派
いっぱい,一杯
いっぱん,一般
いっぴつ,一筆
いっぴん,逸品
いっぷく,一服
いっぺん,一片
いっぺん,一変
いっぺん,一遍
いっぽう,一方
いつまでも,〈何時〉×迄も
いつも,〈何時〉も
いつわ,逸話
いつわり,偽り・△詐り
いつわる,偽る
イデオロギー,〔独〕Ideologie
いでたち,△出で立ち
いてん,移転
いでん,遺伝
いと,糸
いと,意図
いど,井戸
いど,緯度
いとう,×厭う
いどう,異同
いどう,異動
いどう,移動
いとおしい,△愛おしい
いとぐち,△緒
いとけない,△稚い
いとこ,〈従兄弟〉・〈従姉妹〉
いどころ,居所
いとしい,△愛しい
いとしご,△愛し子
いとなみ,営み
いとなむ,営む
いどばた,井戸端
いとま,△暇
いとまき,糸巻
いとまごい,△暇×乞い
いどみず,井戸水
いどむ,挑む
いな,否
いない,以内
いなおる,居直る
いなか,《田舎》
いなかみち,《田舎》道
いながら,居ながら
いなご,×蝗
いなさく,稲作
いなずま,稲妻
いなだ,稲田
いななく,×嘶く
いなびかり,稲光
いならぶ,居並ぶ
いなり,〈稲荷〉
いにしえ,△古
いにゅう,移入
いにん,委任
いぬ,犬・×狗
いぬかき,犬×掻き
いぬじに,犬死に
いね,稲
いねかり,稲刈り
いねこき,稲△扱き
いねむり,居眠り
いねむる,居眠る
いのこり,居残り
いのこる,居残る
いのしし,×猪
いのち,命
いのちがけ,命懸け
いのり,祈り・×祷り
いのる,祈る・×祷る
いはい,位×牌
いはつ,遺髪
いばら,×茨・〈×荊×棘〉
いばる,威張る
いはん,違反
いびき,×鼾
いびつ,×歪
いひょう,意表
いびょう,胃病
いびる,
いふう,威風
いふう,遺風
いぶかしい,×訝しい
いぶかる,×訝る
いぶき,《息吹》
いふく,衣服
いぶくろ,胃袋
いぶし,×燻
いぶす,×燻す
いぶつ,遺物
いぶる,×燻る
いぶんし,異分子
いへん,異変
いぼ,×疣
いぼ,異母
いほう,違法
いま,今
いま,居間
いまいましい,忌ま忌ましい
いまごろ,今×頃
いまさら,今更
いましがた,今し方
いましめ,戒め・△警め・△縛め
いましめる,戒める・△警める・△縛める
いまだ,△未だ
いまだに,△未だに
いまどき,今時
いまに,今に
いまにも,今にも
いままで,今まで
いまや,今や
いまわ,今△際
いまわしい,忌まわしい
いみ,意味
イミテーション,imitation
いみょう,異名
いみん,移民
いむ,忌む
イメージ,image
いも,芋・×薯・×藷
いもうと,妹
いもづる,芋×蔓
いもの,鋳物
いもほり,芋掘り
いもむし,芋虫
いもり,井守・〈×蠑×？〉
いもん,慰問
いや,嫌
いや,△否
いやいや,嫌嫌
いやおう,△否応
いやおうなし,△否応無し
いやがる,嫌がる
いやく,医薬
いやく,意訳
いやく,違約
いやしい,卑しい・×賎しい
いやしくも,×苟も
いやしむ,卑しむ・×賎しむ
いやしめる,卑しめる・×賎しめる
いやす,△癒す
いやに,嫌に
いやらしい,
いよいよ,×愈・×愈×愈
いよう,異様
いよく,意欲・意×慾
いらい,以来
いらい,依頼
いらいら,×苛×苛
イラク,Iraq
イラスト,←illustration
いらだち,×苛立ち
いらだつ,×苛立つ
いらっしゃい,
いらっしゃいませ,
いらっしゃる,
いり,入り
いりあいのかね,入相の鐘
いりうみ,入り海
いりえ,入り江
いりぐち,入り口
いりくむ,入り組む
いりこむ,入り込む
いりひ,入り日
いりまじる,入り交じる・入り混じる・入り△雑じる
いりみだれる,入り乱れる
いりよう,入り用
いりょう,衣料
いりょう,医療
いりょく,威力
いる,入る・要る
いる,×炒る・×煎る・×熬る
いる,居る
いる,射る
いる,鋳る
いるい,衣類
いるか,〈海豚〉
いるす,居留守
いれ,入れ
いれい,威令
いれい,異例・違例
いれい,慰霊
いれかえ,入れ替え・入れ換え
いれかえる,入れ替える・入れ換える
いれかわり,入れ替わり
いれかわる,入れ替わる
いれずみ,入れ墨・〈文身〉・〈刺青〉
いれぢえ,入れ知恵
いれちがい,入れ違い
いれちがう,入れ違う
いれちがえる,入れ違える
いれば,入れ歯
いれもの,入れ物
いれる,入れる・△容れる
いろ,色
いろあい,色合い
いろいろ,色色
いろう,慰労
いろえんぴつ,色鉛筆
いろがみ,色紙
いろずり,色刷り
いろづく,色付く
いろテープ,色テープ
いろどり,彩り
いろどる,彩る
いろは,×伊×呂波
いろはガルタ,×伊×呂波歌留多
いろめがね,色《眼鏡》
いろめく,色めく
いろり,囲炉裏
いろりばた,囲炉裏端
いろわけ,色分け
いろん,異論
いろんな,色んな
いわ,岩・×巌・×磐
いわい,祝い
いわう,祝う
いわお,×巌
いわく,×曰く
いわし,×鰯・×鰮
いわしぐも,×鰯雲
いわば,言わば
いわや,岩屋
いわやま,岩山
いわゆる,〈所×謂〉
いわれ,×謂れ
いん,印
いん,因
いん,員
いん,院
いん,陰
いん,韻
いんえい,陰影・陰×翳
いんか,引火
いんが,因果
いんがおうほう,因果応報
いんがし,印画紙
いんかん,印鑑
いんき,陰気
インキ,〔蘭〕inkt・〔英〕ink
いんぎ,院議
いんきょ,隠居
いんきょく,陰極
インク,〔蘭〕inkt・〔英〕ink
いんけん,引見
いんけん,陰険
いんげんまめ,隠元豆
いんこう,×咽×喉
いんさつ,印刷
いんし,因子
いんし,印紙
いんじゃ,隠者
いんしゅ,飲酒
いんしゅう,因習・因襲
いんしょう,印章
いんしょう,印象
いんしょく,飲食
いんすう,因数
いんずう,員数
インスピレーション,inspiration
いんする,印する
いんせい,院政
いんせい,陰性
いんせき,引責
いんそつ,引率
インターカレッジ,←intercollegiate
インターナショナル,international
いんたい,引退
インタビュー,interview
インチ,inch
いんちき,
いんちょう,院長
インディアン,Indian
インテリ,←〔露〕intelligentsiya
いんでんき,陰電気
インド,India
インドアスポーツ,indoor sports
いんとう,×淫×蕩
いんどう,引導
いんとく,隠匿
インドネシア,Indonesia
イントネーション,intonation
いんに,陰に
いんにん,隠忍
いんねん,因縁
インフルエンザ,influenza
インフレ,←inflation
インフレーション,inflation
いんぶん,韻文
いんぺい,隠×蔽
いんぼう,陰謀
いんよう,引用
いんよう,陰陽
いんよう,飲用
いんりつ,韻律
いんりょう,飲料
いんりょく,引力
いんれい,引例
いんれき,陰暦
う,
う,×鵜
う,右
うい,初
ウィークリー,weekly
ういういしい,初初しい
ういじん,初陣
ウイスキー,whisky
ウイット,wit
ういてんぺん,有為転変
ういまご,初孫
うう,
ううう,
ウール,wool
ううん,
うえ,上
うえ,飢え・△餓え
ウェートレス,waitress
ウエーブ,wave
うえき,植木
うえこみ,植え込み
うえこむ,植え込む
うえした,上下
うえじに,飢え死に・△餓え死に
うえつけ,植え付け
うえつける,植え付ける
うえる,飢える・△餓える
うえる,植える
うえん,×迂遠
うお,魚
うおいちば,魚市場
うおうさおう,右往左往
うおつり,魚釣
うかい,×迂回
うかい,×鵜飼い
うがい,×嗽
うかうか,
うかがい,伺い
うかがう,伺う
うかがう,×窺う
うかされる,浮かされる
うかつ,×迂×闊
うがつ,×穿つ
うかびあがる,浮かび上がる
うかぶ,浮かぶ
うかべる,浮かべる
うかる,受かる
うかれる,浮かれる
うがん,右岸
うき,浮き
うき,雨季・雨期
うきあがる,浮き上がる
うきあし,浮き足
うきうき,浮き浮き
うきくさ,浮き草
うきぐも,浮き雲
うきしずみ,浮き沈み
うきだす,浮き出す
うきたつ,浮き立つ
うきぶくろ,浮き袋
うきぼり,浮き彫り
うきみ,憂き身
うきめ,憂き目
うきよ,浮き世
うきよえ,浮世絵
うく,浮く
うぐいす,×鴬
うけ,受け・請け
うけあい,受け合い・請け合い
うけあう,受け合う・請け合う
うけいれ,受け入れ
うけいれる,受け入れる
うけうり,受け売り
うけおい,請負
うけおう,請け負う
うけこたえ,受け答え
うけだち,受け《太刀》
うけたまわる,承る
うけつぎ,受け継ぎ
うけつぐ,受け継ぐ
うけつけ,受付
うけつける,受け付ける
うけとめる,受け止める
うけとり,受取・請取
うけとる,受け取る
うけみ,受け身
うけもち,受け持ち
うけもつ,受け持つ
うける,受ける・△承ける・請ける
うけわたし,受け渡し
うご,雨後
うごかす,動かす
うごき,動き
うごきだす,動き出す
うごく,動く
うごめかす,×蠢かす
うごめく,×蠢く
うさ,憂さ
うさぎ,×兎
うさばらし,憂さ晴らし
うさんくさい,×胡散臭い
うし,牛
うじ,氏
うじ,×蛆
うしお,△潮
うしかい,牛飼い
うじがみ,氏神
うじこ,氏子
うしごや,牛小屋
うしなう,失う
うじむし,×蛆虫
うしろ,後ろ
うしろあし,後ろ足・後ろ脚
うしろがみ,後ろ髪
うしろぐらい,後ろ暗い
うしろだて,後ろ×楯・後ろ盾
うしろで,後ろ手
うしろむき,後ろ向き
うしろゆび,後ろ指
うす,×臼
うず,渦
うすい,薄い
うすうす,薄薄
うずうず,
うすぎ,薄着
うすぎたない,薄汚い
うずく,×疼く
うずくまる,×蹲る・×踞る
うすぐも,薄雲
うすぐもり,薄曇り
うすぐもる,薄曇る
うすぐらい,薄暗い
うすくれない,薄紅
うすげしょう,薄化粧
うすごおり,薄氷
うずたかい,×堆い
うすっぺら,薄っぺら
うすで,薄手
うすのろ,薄のろ
うすばか,薄馬×鹿
うずまき,渦巻き
うずまく,渦巻く
うずまる,△埋まる
うすみどり,薄緑
うずみび,△埋み火
うずむ,△埋む
うすむらさき,薄紫
うすめる,薄める
うずめる,△埋める
うずもれる,△埋もれる
うずら,×鶉
うすらぐ,薄らぐ
うすれる,薄れる
うせる,△失せる
うそ,×嘘
うぞうむぞう,有象無象
うそじ,×嘘字
うそつき,×嘘つき
うそはっぴゃく,×嘘八百
うそぶく,×嘯く
うた,歌
うたい,謡
うたいだす,歌い出す
うたいて,歌い手
うたう,歌う・謡う・×唄う・×謳う
うたがい,疑い
うたがう,疑う
うたかた,〈泡×沫〉
うたガルタ,歌ガルタ・歌加留多
うたがわしい,疑わしい
うたごえ,歌声
うたた,△転た
うたたね,△転た寝
うたまくら,歌×枕
うたよみ,歌詠み
うだる,×茹だる
うち,内
うち,△家
うち,打ち
うち,討ち
うち,撃ち
うちあい,打ち合い
うちあう,打ち合う
うちあげ,打ち上げ
うちあける,打ち明ける
うちあげる,打ち上げる
うちあてる,打ち当てる
うちあわす,打ち合わす
うちあわせ,打ち合わせ
うちあわせる,打ち合わせる
うちいり,討ち入り
うちいる,討ち入る
うちいわい,内祝い
うちうち,内内
うちおとす,打ち落とす・撃ち落とす
うちおろす,打ち下ろす
うちかえす,打ち返す
うちかつ,打ち勝つ・打ち△克つ
うちがわ,内側
うちき,内気
うちきり,打ち切り
うちきる,打ち切る
うちきん,内金
うちくだく,打ち砕く
うちけし,打ち消し
うちけす,打ち消す
うちこむ,打ち込む
うちころす,打ち殺す
うちこわし,打ち×毀し・打ち壊し
うちこわす,打ち×毀す・打ち壊す
うちじに,討ち死に
うちたおす,打ち倒す
うちだし,打ち出し
うちだす,打ち出す
うちつけ,打ち付け
うちつける,打ち付ける
うちでし,内弟子
うちとける,打ち解ける
